codigo_atc,descripcion_atc
L01XC05 ,GEMTUZUMAB OZOGAMICIN 
L01XE54 ,GILTERITINIB 
L02AE03,GOSERELIN
L02AE03,GOSERELINA
L01XX05,HIDROXICARBAMIDA
M05BA06,IBANDRONICO ACIDO
L01XE27,IBRUTINIB
L01XE48 ,ICOTINIB 
L01DB06,IDARRUBICINA
L01AA06,IFOSFAMIDA
L01XE01,IMATINIB
D06BB10,IMIQUIMOD
L01XC26 ,INOTUZUMAB OZOGAMICIN 
L03AB03,INTERFERON GAMMA
L01XC11,IPILIMUMAB
L01XX19,IRINOTECAN
L01DC04,IXABEPILONA
L01XX50,IXAZOMIB
H01CB03,LANREOTIDO
L01XE07 ,LAPATINIB 
L01XE53 ,LAROTRECTINIB 
L04AX04,LENALIDOMIDA
L01XE29 ,LENVATINIB 
L02BG04,LETROZOL
L02AE02,LEUPRORELINA ACETATO
L01XE44 ,LORLATINIB 
L01XE22 ,MASITINIB 
L02AB01,MEGESTROL
L01AA03,MELFALAN
L01BB02,MERCAPTOPURINA
L01XD03,METIL AMINOLEVULINATO
H02AB04,METILPREDNISOLONA
L04AX03,METOTREXATE
L01XE39 ,MIDOSTAURIN 
L03AX15,MIFAMURTIDA
L01DC03,MITOMICINA
L01XX23,MITOTANE
L01DB07,MITOXANTRONA
L01XC25 ,MOGAMULIZUMAB 
L01XC22 ,NECITUMUMAB 
L01XE45 ,NERATINIB 
L01XE08,NILOTINIB
L01XC99,NIMOTUZUMAB
L01XE31,NINTEDANIB
L01XX54,NIRAPARIB
L01XC17,NIVOLUMAB
L01XC15,OBINUTUZUMAB
H01CB02,OCTREOTIDO
L01XC10 ,OFATUMUMAB 
L01XX46,OLAPARIB
L01XC27,OLARATUMAB
L01XE40 ,OLMUTINIB 
L01XE35,OSIMERTINIB
L01XA03,OXALIPLATINO
L01CD01,PACLITAXEL
L01CD03,PACLITAXEL POLIGLUMEX
L01XE33,PALBOCICLIB
L01XC08 ,PANITUMUMAB 
L01XE11 ,PAZOPANIB 
L01XX24,PEGASPARGASA
L03AA13,PEGFILGRASTIM
L03AA13,PEGFILGASTRIM
L03AA13, pegfilgastrin
L01XC18,PEMBROLIZUMAB
L01BA04,PEMETREXED
L01XC13,PERTUZUMAB
L04AX06,POMALIDOMIDA
L01XE24 ,PONATINIB 
L01BA05,PRALATREXATO
A07EA01,PREDNISOLONA
H02AB06,PREDNISOLONA
H02AB07,PREDNISONA
L01XB01,PROCARBAZINE
L01XE52 ,QUIZARTINIB 
L01XC21,RAMUCIRUMAB
L01AD07,RANIMUSTINE
L01XE21,REGORAFENIB
L01XE42,RIBOCICLIB
L01XE19 ,RIDAFOROLIMUS 
L01XC02,RITUXIMAB
L01XE37 ,ROCILETINIB 
L01XE18 ,RUXOLITINIB 
L01XE05 ,SORAFENIB 
L01XE04,SUNITINIB
L04AX02,TALIDOMIDE
L02BA01,TAMOXIFENO
L01AX03,TEMOZOLOMIDA
L01XE09 ,TEMSIROLIMUS 
L01BB03,TIOGUANINE
L01AC01,TIOTEPA
H01AB01,TIROTROPINA
L01XE34 ,TIVOZANIB 
L01XX17,TOPOTECAN
L01CX01,TRABECTEDIN
L01XE25,TRAMETINIB
L01XC03,TRASTUZUMAB
L01XC14 ,TRASTUZUMAB EMTANSINE 
L01XX14,TRETINOIN
L01BC59,"TRIFLURIDINE, COMBINACION"
L02AE04,TRIPTORELIN
L01XE12 ,VANDETANIB 
L04AA33,VEDOLIZUMAB
L01XE15,VEMURAFENIB
L01XX52,VENETOCLAX
L01CA01,VINBLASTINA
L01CA02,VINCRISTINA
L01CA03,VINDESINE
L01CA04,VINORELBINA
L01XX43,VISMODEGIB
M05BA08,ACIDO ZOLEDRONICO
